section	english	japanese
left	young	若い
left	woman	女性
left	man	男性
left	until	～まで
left	decide	～を決める
left	decide to	～することにする
left	sit	座る(一語)
left	sat	座るの過去形
left	sit down	座る(二語)
left	comfortable	ゆったりとした
left	seat	席
left	while	しばらくの間
left	after a while	しばらくすると
left	a bag of	1袋の～
left	so that～	それで～
left	nothing	何も～ない
middle	nerve	ずうずうしさ
middle	think	考える／思う
middle	thought	think 過去形
middle	cause	引き起こす
middle	scene	大騒ぎ
middle	cause a scene	騒ぎを起こす
middle	rude	失礼な
middle	divide	～を分ける
middle	deal	(deal with)～と関わりを持つ
middle	anymore	これ以上
middle	quickly	急いで
middle	area	エリア
middle	finally	やっと
middle	plane	飛行機
middle	into	～の中へ
middle	untouched	手をつけていない
right	horror	恐ろしさ
right	to A's horror	ぞっとしたことには
right	mean	～を意味する
right	each time	～するごとに
right	in half	半分に
right	put away	～をしまう
right	feel	感じる
right	felt	感じるの過去形
right	ashamed	恥ずかしく思う
right	completely	完全に
right	wrong	間違った
right	be wrong about	～を考え違いしている
right	share	～を分ける
right	share A with B	AをBと分ける
right	without	～なしに
right	apologize	謝る
